date,ITUB4
2023-03-06,24.76
2023-03-03,24.21
2023-03-02,24.18
2023-03-01,25.0
2023-02-28,25.43
2023-02-27,25.34
2023-02-24,25.67
2023-02-23,26.48
2023-02-22,26.38
2023-02-17,26.88
2023-02-16,26.97
2023-02-15,26.77
2023-02-14,26.38
2023-02-13,26.71
2023-02-10,25.8
2023-02-09,25.92
2023-02-08,26.58
2023-02-07,24.55
2023-02-06,25.1301
2023-02-03,25.12
2023-02-02,25.21
2023-02-01,24.98
2023-01-31,25.33
2023-01-30,24.94
2023-01-27,24.93
2023-01-26,25.47
2023-01-25,25.62
2023-01-24,25.53
2023-01-23,25.3
2023-01-20,26.1
2023-01-19,26.57
2023-01-18,26.57
2023-01-17,26.1
2023-01-16,25.5701
2023-01-13,25.85
2023-01-12,25.98
2023-01-11,26.35
2023-01-10,25.9001
2023-01-09,25.41
2023-01-06,25.23
2023-01-05,24.8001
2023-01-04,24.05
2023-01-03,23.98
2023-01-02,24.49
2022-12-29,25.0
2022-12-28,25.05
2022-12-27,24.55
2022-12-26,24.6901
2022-12-23,25.19
2022-12-22,24.8001
2022-12-21,24.75
2022-12-20,24.65
2022-12-19,24.39
2022-12-16,23.68
2022-12-15,23.42
2022-12-14,23.29
2022-12-13,23.19
2022-12-12,24.1
2022-12-09,24.33
2022-12-08,25.05
2022-12-07,25.96
2022-12-06,26.15
2022-12-05,25.56
2022-12-02,26.33
2022-12-01,25.98
2022-11-30,26.0
2022-11-29,25.74
2022-11-28,25.52
2022-11-25,25.99
2022-11-24,26.94
2022-11-23,26.0101
2022-11-22,26.28
2022-11-21,26.72
2022-11-18,26.64
2022-11-17,26.43
2022-11-16,26.27
2022-11-14,26.65
2022-11-11,26.73
2022-11-10,27.62
2022-11-09,28.15
2022-11-08,29.57
2022-11-07,29.66
2022-11-04,30.35
2022-11-03,30.24
2022-11-01,30.46
2022-10-31,30.4
2022-10-28,29.54
2022-10-27,29.3101
2022-10-26,28.78
2022-10-25,29.41
2022-10-24,29.65
2022-10-21,31.06
2022-10-20,30.06
2022-10-19,29.6
2022-10-18,29.59
2022-10-17,28.88
2022-10-14,28.6501
2022-10-13,28.64
2022-10-11,28.81
2022-10-10,29.01
2022-10-07,29.32
2022-10-06,29.26
2022-10-05,29.8
2022-10-04,29.8
2022-10-03,29.7501
2022-09-30,28.06
2022-09-29,27.93
2022-09-28,27.52
2022-09-27,27.53
2022-09-26,27.69
2022-09-23,28.3
2022-09-22,28.8701
2022-09-21,28.3
2022-09-20,28.6
2022-09-19,27.68
2022-09-16,26.68
2022-09-15,26.77
2022-09-14,26.7
2022-09-13,26.8
2022-09-12,27.08
2022-09-09,26.75
2022-09-08,26.54
2022-09-06,26.73
2022-09-05,26.98
2022-09-02,26.55
2022-09-01,26.19
2022-08-31,25.81
2022-08-30,26.48
2022-08-29,26.6
2022-08-26,26.69
2022-08-25,26.85
2022-08-24,26.52
2022-08-23,26.41
2022-08-22,26.3401
2022-08-19,26.64
2022-08-18,27.27
2022-08-17,27.35
2022-08-16,27.28
2022-08-15,26.97
2022-08-12,26.74
2022-08-11,26.42
2022-08-10,26.38
2022-08-09,25.9001
2022-08-08,25.2401
2022-08-05,24.93
2022-08-04,24.4701
2022-08-03,23.89
2022-08-02,23.72
2022-08-01,23.47
2022-07-29,23.62
2022-07-28,23.7001
2022-07-27,23.55
2022-07-26,23.47
2022-07-25,23.6
2022-07-22,23.2601
2022-07-21,23.51
2022-07-20,23.32
2022-07-19,23.62
2022-07-18,22.85
2022-07-15,22.55
2022-07-14,22.15
2022-07-13,22.4
2022-07-12,22.4901
2022-07-11,22.54
2022-07-08,22.91
2022-07-07,22.9
2022-07-06,22.58
2022-07-05,22.79
2022-07-04,22.63
2022-07-01,22.85
2022-06-30,22.67
2022-06-29,23.08
2022-06-28,23.32
2022-06-27,23.58
2022-06-24,23.44
2022-06-23,23.4801
2022-06-22,24.0301
2022-06-21,24.21
2022-06-20,24.4701
2022-06-17,23.45
2022-06-15,23.75
2022-06-14,23.65
2022-06-13,23.8101
2022-06-10,24.1
2022-06-09,24.64
2022-06-08,25.07
2022-06-07,25.56
2022-06-06,25.56
2022-06-03,25.65
2022-06-02,25.89
2022-06-01,25.78
2022-05-31,26.16
2022-05-30,25.92
2022-05-27,26.16
2022-05-26,26.02
2022-05-25,25.7
2022-05-24,26.17
2022-05-23,25.78
2022-05-20,25.1301
2022-05-19,24.82
2022-05-18,24.9
2022-05-17,25.26
2022-05-16,25.04
2022-05-13,24.78
2022-05-12,24.49
2022-05-11,24.11
2022-05-10,23.33
2022-05-09,23.45
2022-05-06,23.79
2022-05-05,23.29
2022-05-04,23.84
2022-05-03,23.87
2022-05-02,23.75
2022-04-29,23.87
2022-04-28,24.3
2022-04-27,24.5
2022-04-26,24.7
2022-04-25,25.5701
2022-04-22,25.67
2022-04-20,26.18
2022-04-19,26.0101
2022-04-18,26.48
2022-04-14,26.33
2022-04-13,26.16
2022-04-12,26.09
2022-04-11,26.5601
2022-04-08,26.66
2022-04-07,26.71
2022-04-06,26.73
2022-04-05,26.74
2022-04-04,27.29
2022-04-01,27.54
2022-03-31,27.48
2022-03-30,27.83
2022-03-29,27.7701
2022-03-28,27.45
2022-03-25,27.47
2022-03-24,27.42
2022-03-23,27.24
2022-03-22,27.36
2022-03-21,26.99
2022-03-18,26.3401
2022-03-17,26.15
2022-03-16,25.59
2022-03-15,25.1
2022-03-14,25.19
2022-03-11,24.84
2022-03-10,25.12
2022-03-09,25.1
2022-03-08,23.91
2022-03-07,24.1401
2022-03-04,24.67
2022-03-03,25.05
2022-03-02,25.03
2022-02-25,25.47
2022-02-24,24.96
2022-02-23,25.39
2022-02-22,25.75
2022-02-21,25.53
2022-02-18,26.17
2022-02-17,26.07
2022-02-16,26.44
2022-02-15,26.72
2022-02-14,26.47
2022-02-11,26.53
2022-02-10,25.05
2022-02-09,24.5801
2022-02-08,25.6
2022-02-07,25.32
2022-02-04,25.4601
2022-02-03,25.38
2022-02-02,25.09
2022-02-01,25.49
2022-01-31,25.33
2022-01-28,24.79
2022-01-27,24.49
2022-01-26,24.37
2022-01-25,24.11
2022-01-24,23.27
2022-01-21,23.3
2022-01-20,23.29
2022-01-19,23.4801
2022-01-18,23.64
2022-01-17,23.5
2022-01-14,23.5
2022-01-13,23.68
2022-01-12,23.25
2022-01-11,23.35
2022-01-10,22.84
2022-01-07,22.63
2022-01-06,22.14
2022-01-05,21.7
2022-01-04,22.12
2022-01-03,21.51
2021-12-30,20.9501
2021-12-29,21.3
2021-12-28,21.48
2021-12-27,21.56
2021-12-23,21.34
2021-12-22,21.23
2021-12-21,21.15
2021-12-20,21.12
2021-12-17,21.45
2021-12-16,21.93
2021-12-15,21.71
2021-12-14,21.78
2021-12-13,21.57
2021-12-10,22.1601
2021-12-09,22.13
2021-12-08,22.74
2021-12-07,22.96
2021-12-06,23.25
2021-12-03,22.98
2021-12-02,23.06
