date,ABEV3
2022-04-27,14.68
2022-04-26,14.75
2022-04-25,15.12
2022-04-22,14.75
2022-04-20,14.73
2022-04-19,14.65
2022-04-18,14.71
2022-04-14,14.7
2022-04-13,14.83
2022-04-12,15.05
2022-04-11,15.2
2022-04-08,14.93
2022-04-07,15.06
2022-04-06,14.95
2022-04-05,15.07
2022-04-04,15.19
2022-04-01,15.39
2022-03-31,15.4
2022-03-30,15.17
2022-03-29,15.25
2022-03-28,14.74
2022-03-25,14.32
2022-03-24,14.2
2022-03-23,14.19
2022-03-22,14.38
2022-03-21,14.18
2022-03-18,14.25
2022-03-17,13.93
2022-03-16,13.78
2022-03-15,13.47
2022-03-14,13.32
2022-03-11,13.18
2022-03-10,13.38
2022-03-09,13.93
2022-03-08,13.44
2022-03-07,13.43
2022-03-04,13.93
2022-03-03,14.18
2022-03-02,14.52
2022-02-25,15.2
2022-02-24,14.84
2022-02-23,14.81
2022-02-22,14.71
2022-02-21,14.45
2022-02-18,14.77
2022-02-17,14.85
2022-02-16,15.08
2022-02-15,15.38
2022-02-14,15.06
2022-02-11,14.86
2022-02-10,14.75
2022-02-09,14.54
2022-02-08,14.16
2022-02-07,14.29
2022-02-04,14.41
2022-02-03,14.46
2022-02-02,14.52
2022-02-01,14.85
2022-01-31,14.97
2022-01-28,14.93
2022-01-27,15.4
2022-01-26,15.0
2022-01-25,15.07
2022-01-24,14.7
2022-01-21,14.69
2022-01-20,14.49
2022-01-19,14.54
2022-01-18,14.58
2022-01-17,14.8
2022-01-14,15.1
2022-01-13,14.99
2022-01-12,14.88
2022-01-11,14.68
2022-01-10,14.65
2022-01-07,14.53
2022-01-06,14.77
2022-01-05,15.01
2022-01-04,15.31
2022-01-03,15.33
2021-12-30,15.42
2021-12-29,15.45
2021-12-28,15.52
2021-12-27,15.53
2021-12-23,15.55
2021-12-22,15.39
2021-12-21,15.4
2021-12-20,15.42
2021-12-17,16.07
2021-12-16,16.1
2021-12-15,16.08
2021-12-14,16.17
2021-12-13,16.01
2021-12-10,15.95
2021-12-09,15.81
2021-12-08,16.08
2021-12-07,16.1
2021-12-06,16.08
2021-12-03,16.0
2021-12-02,16.01
2021-12-01,15.86
2021-11-30,16.06
2021-11-29,16.34
2021-11-26,16.69
2021-11-25,17.23
2021-11-24,17.1
2021-11-23,17.2
2021-11-22,17.32
2021-11-19,17.39
2021-11-18,17.6
2021-11-17,17.54
2021-11-16,17.51
2021-11-12,17.51
2021-11-11,17.61
2021-11-10,17.75
2021-11-09,17.89
2021-11-08,17.74
2021-11-05,17.9
2021-11-04,17.88
2021-11-03,17.83
2021-11-01,17.36
2021-10-29,16.99
2021-10-28,16.7
2021-10-27,15.22
2021-10-26,15.16
2021-10-25,15.27
2021-10-22,15.0
2021-10-21,15.14
2021-10-20,15.35
2021-10-19,15.14
2021-10-18,15.62
2021-10-15,15.53
2021-10-14,15.49
2021-10-13,15.51
2021-10-11,15.24
2021-10-08,15.36
2021-10-07,15.08
2021-10-06,15.1
2021-10-05,15.18
2021-10-04,15.04
2021-10-01,15.27
2021-09-30,15.3
2021-09-29,15.49
2021-09-28,15.44
2021-09-27,15.83
2021-09-24,15.84
2021-09-23,15.88
2021-09-22,15.72
2021-09-21,15.66
2021-09-20,15.61
2021-09-17,15.74
2021-09-16,16.13
2021-09-15,16.02
2021-09-14,16.44
2021-09-13,16.35
2021-09-10,16.1
2021-09-09,16.31
2021-09-08,16.21
2021-09-06,17.19
2021-09-03,16.56
2021-09-02,16.52
2021-09-01,17.26
2021-08-31,17.1
2021-08-30,17.18
2021-08-27,17.04
2021-08-26,17.11
2021-08-25,17.58
2021-08-24,17.59
2021-08-23,17.36
2021-08-20,17.54
2021-08-19,17.19
2021-08-18,16.47
2021-08-17,16.32
2021-08-16,16.4
2021-08-13,16.65
2021-08-12,16.58
2021-08-11,16.57
2021-08-10,16.71
2021-08-09,17.16
2021-08-06,17.1
2021-08-05,16.62
2021-08-04,16.63
2021-08-03,17.07
2021-08-02,16.86
2021-07-30,16.64
2021-07-29,17.13
2021-07-28,17.33
2021-07-27,16.92
2021-07-26,17.09
2021-07-23,16.75
2021-07-22,17.03
2021-07-21,17.2
2021-07-20,17.03
2021-07-19,17.01
2021-07-16,17.43
2021-07-15,17.62
2021-07-14,17.91
2021-07-13,17.8
2021-07-12,17.66
2021-07-08,17.36
